id,state,district,latitude,longitude,rainfall_24h,soil_moisture,slope,elevation,landslide_history,landslide
1,Sikkim,Mangan,27.5095,88.5362,241,94,40,592,0,1
2,Sikkim,Mangan,27.5095,88.5362,211,36,17,2973,1,1
3,Mizoram,Aizawl,23.7271,92.7176,89,38,16,2442,0,1
4,Sikkim,Mangan,27.5095,88.5362,245,49,31,1924,0,1
5,Sikkim,Mangan,27.5095,88.5362,30,27,46,128,1,0
6,Nagaland,Kohima,25.6751,94.1086,56,79,13,1601,1,1
7,Meghalaya,Shillong,25.5788,91.8933,236,54,36,429,0,1
8,Sikkim,Gangtok,27.3389,88.6065,170,24,32,920,0,1
9,Meghalaya,Shillong,25.5788,91.8933,188,77,48,2495,1,0
10,Nagaland,Kohima,25.6751,94.1086,31,36,12,2717,1,0
11,Meghalaya,Tura,25.514,90.202,242,48,37,1555,1,1
12,Sikkim,Mangan,27.5095,88.5362,174,84,28,390,0,1
13,Nagaland,Kohima,25.6751,94.1086,226,62,45,515,1,1
14,Sikkim,Mangan,27.5095,88.5362,192,28,39,2347,0,1
15,Sikkim,Gangtok,27.3389,88.6065,65,52,30,1229,1,1
16,Mizoram,Aizawl,23.7271,92.7176,218,45,17,1182,0,1
17,Sikkim,Gangtok,27.3389,88.6065,143,54,37,1588,0,1
18,Sikkim,Gangtok,27.3389,88.6065,108,33,26,698,0,1
19,Nagaland,Kohima,25.6751,94.1086,203,30,8,457,1,0
20,Nagaland,Kohima,25.6751,94.1086,85,49,46,647,0,0
21,Meghalaya,Tura,25.514,90.202,157,47,17,712,0,0
22,Meghalaya,Tura,25.514,90.202,239,47,33,455,1,1
23,Sikkim,Mangan,27.5095,88.5362,223,45,41,2642,0,0
24,Meghalaya,Shillong,25.5788,91.8933,16,88,29,428,1,0
25,Mizoram,Aizawl,23.7271,92.7176,173,47,44,1051,1,1
26,Meghalaya,Shillong,25.5788,91.8933,166,85,5,1337,0,1
27,Nagaland,Kohima,25.6751,94.1086,221,93,29,834,0,1
28,Nagaland,Kohima,25.6751,94.1086,89,77,29,2662,1,1
29,Meghalaya,Tura,25.514,90.202,224,43,22,1138,1,1
30,Mizoram,Aizawl,23.7271,92.7176,109,49,42,716,1,0
31,Meghalaya,Shillong,25.5788,91.8933,13,26,26,1028,1,1
32,Meghalaya,Tura,25.514,90.202,237,32,10,2666,1,1
33,Sikkim,Gangtok,27.3389,88.6065,229,64,16,2535,1,1
34,Sikkim,Mangan,27.5095,88.5362,43,31,20,1304,0,0
35,Sikkim,Gangtok,27.3389,88.6065,188,76,20,400,0,0
36,Mizoram,Aizawl,23.7271,92.7176,136,93,8,1273,1,0
37,Meghalaya,Tura,25.514,90.202,184,77,46,1089,1,1
38,Sikkim,Mangan,27.5095,88.5362,113,34,12,2274,0,1
39,Sikkim,Mangan,27.5095,88.5362,42,73,43,1712,0,0
40,Meghalaya,Shillong,25.5788,91.8933,77,38,35,577,1,1
